,id,latitude,longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
3336,75116000DF,48.859742993478264,2.270645330434783,HealthCtity,48.86041719657217,2.270935738738709,Gym
3337,75116000DG,48.86088663225809,2.27188370483871,HealthCtity,48.86041719657217,2.270935738738709,Gym
3338,75116000DI,48.863432543661965,2.274010281690141,Les Filaos,48.862737,2.273348,Cajun / Creole Restaurant
3339,75116000DI,48.863432543661965,2.274010281690141,Tang,48.863313,2.274258,Chinese Restaurant
3340,75116000DI,48.863432543661965,2.274010281690141,Da Enzo,48.86340374919554,2.2740545868873596,Italian Restaurant
3341,75116000DM,48.860636139639624,2.2740862972972975,Bon,48.860282269750705,2.2746360061086905,French Restaurant
3342,75116000DM,48.860636139639624,2.2740862972972975,Hôtel Brach,48.861217475473325,2.2750818729400635,Hotel
3343,75116000DM,48.860636139639624,2.2740862972972975,Restaurant Brach,48.86124570883386,2.275068461894989,Restaurant
3344,75116000DN,48.859627489024376,2.2739195560975602,Bon,48.860282269750705,2.2746360061086905,French Restaurant
3345,75116000DO,48.858866006896555,2.279753572413793,Best Western Premier Trocadero,48.85834462231689,2.2795145702413784,Hotel
3346,75116000DO,48.858866006896555,2.279753572413793,Nico&co,48.85842325720402,2.2806376390310477,Cosmetics Shop
3347,75116000DP,48.8593688,2.2840722516129035,La Petite Tour,48.85914185730039,2.283048540706565,French Restaurant
3348,75116000DP,48.8593688,2.2840722516129035,Framboise,48.858746351751954,2.285038392390184,Creperie
3349,75116000DP,48.8593688,2.2840722516129035,Boulangerie Desgranges,48.85850346934557,2.283812463283539,Bakery
3350,75116000DP,48.8593688,2.2840722516129035,Hotel La Maison FL,48.8588052686999,2.2840728679739364,Hotel
3351,75116000DP,48.8593688,2.2840722516129035,Le Passy,48.85857375073393,2.2843794705029428,Bar
3352,75116000DP,48.8593688,2.2840722516129035,Le Frankl'in Café,48.858900819381205,2.284836824215323,French Restaurant
3353,75116000DQ,48.85918064897959,2.2884653877551018,NYFI,48.859235,2.289771,Art Gallery
3354,75116000DR,48.86111825609757,2.2878348292682924,Café de l'Homme,48.86197271238272,2.2877633571624756,French Restaurant
3355,75116000DR,48.86111825609757,2.2878348292682924,Musée de l'Homme,48.861891542607296,2.287430763244629,Museum
3356,75116000DS,48.860653789473695,2.2864653078947375,Hôtel Eiffel Trocadéro,48.86136234,2.28635213,Hotel
